  #|Befehl    |LV|Kz.|Passwort            |Anzeigetext fuer ?  |Zusaetzlicher Anzeigetext fuer H (Hilfe)        |B|S|C|A|b|1|2|3|4|5|s|c|V|Ports: (B=Batch/S=Sysop/C=CoSysop/A=Av/b=Bv/1-5=Gruppen/s=SuperUser/c=Console/V=Vereinsflag        
 --+----------+--+---+--------------------+--------------------+------------------------------------------------+-+-+-+-+-+-+-+-+-+-+-+-+-+---------------------------------------------------------------------------------------------------
004|SORTBE    |50|007|                    |    Sortiere Betreff| Brett nach Betreff sortieren fuer Binaerbretter|1|0|0|1|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
004|SORTBR    |70|005|                    |   Bretter sortieren|                       Brettlisten neu sortieren|1|0|0|1|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
004|SORTDA    |50|008|                    | Sortiere nach Datum|                      Brett nach Datum sortieren|1|0|0|0|1|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
004|SORTG     |99|006|                    |     Games sortieren|                            Spiele neu sortieren|1|1|0|0|0|1|1|1|1|1|1|1|1|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
004|SORTT     |98|003|                    |  Transfer sortieren|                   Transferauswahl neu sortieren|1|1|0|0|0|0|0|0|0|0|1|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
004|SORTU     |90|002|                    | Userliste sortieren|                         Userliste neu sortieren|1|1|0|0|0|0|0|0|0|1|1|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
005|TASTE     |00|***|                    |       Druecke Taste|             Batchbefehl, wartet auf Tastendruck|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
006|SEL       |70|001|                    |Selektiere Userliste|Selektierte Userliste nach Parametern [username]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
006|SEL_FLAGS |80|003|                    |Selektiere Userliste|Selektierte Userl. mit allen Flags    [username]|1|0|0|0|0|0|0|1|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
006|T         |20|***|                    |     Teilnehmerliste|Userliste anzeigen / User suchen      [username]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
006|U         |02|***|                    |  Userliste anzeigen|Userliste anzeigen / User suchen      [username]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
006|USERL_FLAG|80|002|                    | Userliste mit Flags|Userliste / User suchen / alle Flags  [username]|1|0|0|0|0|0|0|1|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
007|I         |00|***|                    |     Inhalt anzeigen|Inhalt anzeigen                      [parameter]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
007|INF       |20|001|                    |   Inhalt mit Info's|Inhalt mit Filenamen und Fileinfo's  [parameter]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
007|LI        |00|***|                    |         List Inhalt|Inhalt anzeigen                      [parameter]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
007|NEWS      |00|000|                    |      Neue Eintraege|                         Neue Eintraege anzeigen|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
008|EXP       |10|***|                    |             Experte|       Profi-Modus an-/ausschalten (Dauerhilfen)|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
008|PROF      |10|***|                    |  Profi-Modus an/aus|                Profi-Modus an/aus (Dauerhilfen)|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
009|POR       |00|***|                    |           Portliste|Portliste aufrufen (alle Ports anzeigen)   [typ]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
009|PORTSUCHE |99|100|                    | Portliste mit Input|                  Portliste für Sunderfunktionen|0|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
009|QPOR      |00|005|                    |          Quick-Port|                Belegte Ports dauerhaft anzeigen|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
009|SPOR      |00|002|                    |    Portliste (Voll)|          Automatische Portliste mit allen Daten|1|0|0|0|0|0|0|0|0|0|0|0|2|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
009|TPOR      |00|006|                    |   Portliste (Total)|            Volle Portliste in Schleife anzeigen|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
009|XPOR      |00|003|                    | Portliste (schnell)|                  Auto-Portliste ohne Rufnummern|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
009|YPOR      |00|001|                    |   Portliste (klein)|                 Auto-Portliste ohne Aktivitäten|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
009|ZPOR      |00|004|                    |     Portliste klein|                      Kleine Portliste auflisten|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
009|ZUSATZ    |20|999|                    |      Zusatzpseudo's|     Zusatzpseudo-Verwaltung (Menü-Direktaufruf)|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
010|PRO       |20|***|                    |  Protokoll anzeigen|               Anruferprotokoll der Box anzeigen|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
010|PROTO     |20|***|                    |  Protokoll anzeigen|               Anruferprotokoll der Box anzeigen|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
011|REL       |20|***|                    |  Relog durchfuehren|Relog auf anderes Pseudo durchfuehren       [-n]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
012|ANZ       |20|***|                    |      Alles anzeigen|                         Zeigt alle Eintraege an|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
012|D         |02|***|                    |            Download|Eintraege lesen / Downloaden         [parameter]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
012|L         |00|***|                    |               Lesen|Eintraege lesen                      [parameter]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
013|DEL       |20|***|                    |  Eintraege loeschen|Eintraege loeschen                   [parameter]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
013|K         |20|***|                    |       Kill-Kommando|Loeschen von Eintraegen              [parameter]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
013|LOE       |20|***|                    |   Loesche Eintraege|Eintraege loeschen                   [parameter]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
014|2000      |00|200|                    |   Restzeit bis 2000|    Genau Anzeige der Restzeit bis zum Jahr 2000|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
014|ANLAST    |80|APL|                    |        Neue Anträge|     Anzeige des Antrags-Protokolles (Letzte 25)|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
014|ANPROT    |80|APK|                    |  Useranträge gesamt|         Anzeige des Antrags-Protokolles (Alle!)|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
014|DOORLAST  |80|DOL|                    |Anzeige Door-P. kurz|   Anzeige des CLI-Doors-Protokolles (letzte 25)|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
014|DOORPROT  |80|DOR|                    |  Anzeige Door-Prot.|               Anzeige des CLI-Doors-Protokolles|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
014|EMAIL_PROT|99|NET|                    |  Anzeige eMail_Prot|      Anzeige des eMail_Protokolles vo Mail_Sort|1|1|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
014|FORTUNE   |00|FOR|                    |   Sprueche ausgeben|Per Zufall einen Spruch aus einer Datei ausgeben|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
014|FORTUNE2  |00|FO2|                    |   Sprueche ausgeben|Per Zufall einen Spruch aus einer Datei ausgeben|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
014|GOTCHAPROT|90|GOT|                    | Anzeige Gotchaprot.|                  Anzeige des Gotcha-Protokolles|1|0|1|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
014|HACKLAST  |89|HAL|                    |Anzeige Hackprot(25)|                    Anzeige der letzten 25 Hacks|1|0|0|0|0|0|0|1|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
014|HACKPROT  |90|HAK|                    |   Anzeige Hackprot.|                    Anzeige des Hack-Protokolles|1|0|1|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
014|HISTORY   |80|HIS|                    |       History sehen|          Übersicht über dei History des Systems|1|0|0|0|0|0|0|1|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
014|ISDNLAST  |99|ISL|                    |  Anzeige ISDN-Prot.|   Anzeige des ISDN-Protokolles (letzte 25 Anr.)|1|1|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
014|ISDNPROT  |99|ISP|                    |  Anzeige ISDN-Prot.|                    Anzeige des ISDN-Protokolles|1|1|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
014|KA        |00|KAL|                    |   Kalender anzeigen|      Kalender fuer den aktuellen Monat anzeigen|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
014|MAIL_PROT |99|NET|                    |  Anzeige eMail_Prot|      Anzeige des eMail_Protokolles vo Mail_Sort|1|1|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
014|RELOGLAST |90|RLL|                    |Anzeige Relogp. (25)|                   Anzeige der letzten 25 Relogs|1|0|1|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
014|RELOGPROT |90|REL|                    |  Anzeige Relogprot.|                   Anzeige des Relog-Protokolles|1|0|1|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
014|STFORTUNE |00|STF|                    |  Star-Trek Fortunes|       Sprueche aus Star-Trek zufaellig anzeigen|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
014|TRANSPROT |90|XPR|                    |  Transferprotokolle|Anzeige der Transferergebnisse, Send und Receive|1|1|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
014|USERLOESCH|20|KIL|                    |      Userlöschungen|           Wer wird demnächst gelöscht (14 Tage)|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
015|AGB       |00|AGB|                    |          Boxordnung|    Allgemeine Geschäftsbedingungen (Boxordnung)|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
015|ANL       |00|ANL|                    |   Anleitung zur Box|            Anleitung der wichtigsten Funktionen|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
015|BEFEHLE?  |20|HYP|                    |   Hilfe zu Befehlen|       Hilfe Text zur Hyperraum Befehlssteuerung|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
015|BEFEHLSPSW|99|BEF|                    |  Kennwort-Protokoll|Befehls-Passwort-Protokoll anzeigen  (Letze 100)|1|1|0|0|0|1|1|1|1|1|1|0|1|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
015|BRETTPFAD |70|BPF|                    | Brettpfade anzeigen|                     Listet alle Brettpfade auf.|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
015|CHAN      |20|CNG|                    |  Wechseln/Speichern|   Wechselt/Speichert VKs,Sigums und XPort-Texte|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
015|DAUERLOG  |20|LOG|                    |        Dauer-LogMSG|      Dauerhaftes Speichern der aktuellen LogMSG|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
015|DEL_LOG   |20|KLG|                    | Delete Dauer-LogMSG|                 Loeschen der dauerhaften LogMSG|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
015|DEL_XPORT |20|KXP|                    |  XPort Text löschen|                   Den XPORT Text wieder löschen|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
015|FAN       |00|FAN|                    |        FanClub-Info|         FanClub-Info und Spendenkonto anzeigen!|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
